hour,V0_city_avg_rel_err,V2_city_avg_rel_err,Final_city_avg_rel_err,delta_Final_vs_V0,delta_Final_vs_V2
6,95.68,95.68,95.68,0.0,0.0
7,70.66,70.66,46.88,-23.78,-23.78
8,38.28,38.28,17.24,-21.04,-21.04
9,19.27,19.27,10.1,-9.17,-9.17
10,13.58,13.58,1.47,-12.11,-12.11
11,13.97,13.97,4.67,-9.3,-9.3
12,13.09,13.09,4.22,-8.87,-8.87
13,11.97,11.97,3.0,-8.98,-8.98
14,14.94,14.94,1.81,-13.13,-13.13
15,18.53,18.53,7.59,-10.94,-10.94
16,25.7,25.7,12.11,-13.59,-13.59
17,63.17,63.17,64.53,1.36,1.36
18,93.16,93.16,93.16,0.0,0.0
19,100.0,100.0,100.0,0.0,0.0
