site_id,hour,rows,capacity_mw,actual_sum_mwh,pred_sum_mwh,pred_actual_ratio,mae_mw,rmse_mw,site_nrmse_pct,bias_mwh,bias_pct
S012,12,109,17.55,232.14,665.0533,2.8649,4.4919,5.3583,30.5315,432.9133,186.488
S055,12,114,4.0,60.94,168.42,2.7637,1.0672,1.1837,29.5927,107.48,176.3702
S012,11,109,17.55,198.9,640.5322,3.2204,4.2462,5.1443,29.3122,441.6322,222.0373
S055,11,113,4.0,58.56,162.8336,2.7806,1.0172,1.1433,28.5825,104.2736,178.0629
S012,13,109,17.55,208.97,616.6374,2.9508,4.1173,4.941,28.1539,407.6674,195.0842
S055,13,114,4.0,58.91,159.1853,2.7022,0.9899,1.1072,27.681,100.2753,170.2177
S050,12,122,2.55,59.59,119.6806,2.0084,0.5645,0.6949,27.2494,60.0906,100.8401
S116,12,122,22.0,1306.88,1370.4185,1.0486,5.326,5.9239,26.9268,63.5385,4.8618
S116,11,122,22.0,1258.92,1344.3807,1.0679,5.1548,5.7384,26.0837,85.4607,6.7884
S116,13,122,22.0,1261.09,1326.3665,1.0518,5.0277,5.645,25.659,65.2765,5.1762
S012,10,109,17.55,183.2,559.3853,3.0534,3.6198,4.3999,25.0709,376.1853,205.3413
S032,12,122,9.335,425.43,211.1528,0.4963,1.9611,2.3186,24.8373,-214.2772,-50.3672
S019,10,121,3.0,193.1,158.8518,0.8226,0.5103,0.7434,24.7801,-34.2482,-17.736
S050,13,122,2.55,56.54,110.172,1.9486,0.5125,0.6298,24.6964,53.632,94.8567
S050,11,122,2.55,55.57,110.6947,1.992,0.4922,0.6264,24.5661,55.1247,99.1986
S019,14,122,3.0,178.32,151.8038,0.8513,0.4827,0.7246,24.1544,-26.5162,-14.87
S116,10,122,22.0,1083.89,1232.5762,1.1372,4.6219,5.2437,23.8351,148.6862,13.7178
S032,13,122,9.335,400.14,194.8926,0.4871,1.8529,2.2136,23.7132,-205.2474,-51.2939
S012,14,109,17.55,170.42,511.1697,2.9995,3.4695,4.1333,23.5516,340.7497,199.947
